name,x,y
Khmer Nationalism,-9.375,9.375
Khomeinism,-1.25,6.25
Kleptocracy,4.0625,2.70833
Kokkashugi,5,8.75
Kuomintang,0.3125,3.29861
Labor Movement,-1.45,1.475
Labor Zionism,-1.667,5
Labour Party,-4.444,2.222
Laissez-Faire,5.78333,-2.83333
Left Communism,-8.84375,-1.1875
Left-Libertarianism,-0.573529,-4.69608
Left-Wing,-8,-1
Left-Wing Nationalism,-3.90586,5.06019
Left-Wing Populism,-5.83333,2.35648
Leninism,-8.37073,3.63355
Liberal Autocracy,8.75,8.75
Liberal Catholicism,3,3
Liberal Conservatism,5.78993,2.01562
Liberal Corporatism,4.16667,-1.45833
Liberal Democracy,-0.969444,-0.252778
Liberal Feminism,-4.375,-1.875
Liberal Internationalism,7.5,-1.25
Liberalism,2.4158,-0.432292
Liberal Nationalism,4.375,0.625
Liberal Socialism,-3.5571,-4.06019
Libertarian Christianity,5.625,-6.875
Libertarian Conservatism,7.40895,-0.871914
Libertarianism,4.09314,-4.9281
Libertarianism in the United States,9.375,-3.125
Libertarian Marxism,-8.69444,-6.08333
Libertarian Paternalism,1.25,-3.125
Libertarian Socialism,-6.46142,-6.11111
Luxemburgism,-8.57361,-2.37778
Make America Great Again,6.667,0
Mafia,6.667,-4.444
Maoism,-6.26389,8.27885
Maoism-Third Worldism,-3.125,6.875
Maritime Republics,4.444,-2.222
Market Anarchism,2.38889,-8
Market Socialism,-3.06439,-3.46591
Marxism,-8.79722,-0.808333
Marxism-Leninism,-8.32083,6.84583
Marxism-Leninism-Maoism,-7.39583,4.6875
Marxist Humanism,-5,-1.875
Mercantilism,8.125,5.625
Metaxism,3.125,5.625
Might Makes Right,10.706,10.4977
Mikhail Gorbachev,-3.75,1.875
Military Junta,6.25,8.75
Mixed Economy,0.833333,0
Moderates,0,0
Monarchism,3,8
Monarchy,8.889,8.889
Moralism,2.222,6.667
Mugabeism,-4.74206,6.59524
Municipalism,-5.625,-6.875
Mutualism,-1.15355,-8.58179
National-Anarchism,0.399306,-7.82118
National Bolshevism,-5.70486,9.04051
National Communism,-7.575,7.225
National Conservatism,4.8125,4.40625
National Liberalism,3.35417,0.145833
National Syndicalism,-5,4.16667
Nationalism,2.54167,6.29167
Natural-Rights Libertarianism,5.625,-5.625
Naturism,-3.0625,-7.9375
Nazism,0.528549,8.625
Neo-Capitalism,3.125,4.375
Neoclassical Liberalism,3.33532,-5.8631
Neo-Confederates,8.61111,-1.94444
Neoconservatism,6.45648,3.98704
Neo-Fascism,5.26786,8.72619
Neoliberalism,4.64259,-0.144444
Neo-Libertarianism,6.57812,-4.53125
Neo-Marxism,-5.3125,1.61458
Neo-Nazism,4.375,9.375
Neo-Stalinism,-8.125,8.125
Neozapatismo,-2.8125,-5
New Economic Policy,-5,5
New Labour,3,1
New Left,-1.667,-5
Night-Watchman State,7.2402,-6.80964
Nineteen Eighty-Four,-2,10.4884
Nordic Model,-1.375,-3.08333
Objectivism,7.51852,-6.15741
Old Left,-5,1.667
Oligarchy,1.333,6.16667
One-Nation Conservatism,2.41667,2.5
Ordoliberalism,4.1875,-1.5
Orthodox Marxism,-8.59028,1.67708
Oswald Mosley,3.125,9.375
Paleoconservatism,7.27083,4.77431
Paleolibertarianism,7.41528,-4.53611
Pan-Arabism,1.875,5.625
Pancasila,-3.125,8.125
Pan-Turkism,3.125,5.625
Participatory Democracy,0,-5
Paternalism,2.222,2.222
Paternalistic Conservatism,-1.6,3.25
Philosophical Anarchism,3.125,-8.125
Pinochetism,8.66071,7.19246
Platformism,-4.375,-8.125
Plutocracy,8,-2
Populism,4,-8
Posthumanism,6.5635,-10.625
Postmodernism,-6.667,-6.667
Pre-Marxist Communism,-6.875,-1.875
Progressive Conservatism,2.5,2.5
Progressivism,-1.39141,-1.03283
Propertarianism,8.54167,-6.875
Protectionism,1.875,4.375
Proto-Fascism,3.125,6.875
Queer Anarchism,-5.375,-7.75
Radical Centrism,0.15625,-0.15625
Raëlism,-1.875,4.375
Rainbow Capitalism,5.875,-8.125
Rational Egoism,8.5625,-6.8125
Reactionism,7.8125,5.3125
Reaganism,6.54167,4.41667
Reaganomics,9.375,2.5
Reformism,-0.5625,-1.1875
Religious Democracy,-2.5,3.125
Representative Democracy,0,-3
